1,Napoli,29.349742738062325,1.4937952013193816
2,Milan,28.41681542335124,1.4922277820689689
3,Juventus,28.29421629580118,1.8574778622993109
4,Atalanta,28.241795422406675,1.25900334571511
5,Inter,27.918527745363246,1.3566917540564676
6,Torino,27.72541961306233,1.5363676268013466
7,Roma,26.982751349596146,1.3378921870645506
8,Lazio,25.703702031634982,1.276596543154577
9,Bologna,24.652012853471284,1.3984447482068803
10,Sampdoria,24.52448019276443,1.237383545363047
11,Spal,24.10500920102617,1.3424200735601937
12,Udinese,23.950524721564033,1.4291203734104994
13,Empoli,23.88619154015073,1.2924689376764877
14,Genoa,23.512074908256896,1.506104354333579
15,Cagliari,22.98785432607267,1.4096803783192313
16,Parma,22.951460362455766,1.3074340403412812
17,Sassuolo,22.408664116078654,1.607961681515696
18,Fiorentina,22.242431291830012,1.5127077725886975
19,Frosinone,20.203843081660878,1.590067967543825
20,Chievo,17.623068496713252,2.163890643190006
